in s,C1 in V,C2 in V,C3 in V
-1.0941652E-02,1.883516045826E-02,-8.36964750150E-01,3.671871295465E-02
-1.0941468E-02,1.883267641024E-02,-8.36444066325E-01,3.671999180956E-02
-1.0941284E-02,1.882861169477E-02,-8.36901231622E-01,3.671952247886E-02
-1.0941100E-02,1.882891567963E-02,-8.36905760178E-01,3.672041568240E-02
-1.0940916E-02,1.882737424531E-02,-8.36696149735E-01,3.671913708361E-02
-1.0940732E-02,1.883129954178E-02,-8.36809016718E-01,3.671848499017E-02
-1.0940548E-02,1.882817493708E-02,-8.36938994424E-01,3.671753625186E-02
-1.0940364E-02,1.882677843402E-02,-8.37107489305E-01,3.671855357276E-02
-1.0940180E-02,1.883105357367E-02,-8.36910435418E-01,3.671885683933E-02
-1.0939996E-02,1.883018540175E-02,-8.36607560003E-01,3.671884129090E-02
-1.0939812E-02,1.883241676799E-02,-8.37031749496E-01,3.671757365843E-02
-1.0939628E-02,1.883193869682E-02,-8.36918670638E-01,3.671783992356E-02
-1.0939444E-02,1.883325817951E-02,-8.37336997455E-01,3.671684576465E-02
-1.0939260E-02,1.883448423076E-02,-8.36858150968E-01,3.671789570978E-02
-1.0939076E-02,1.883632215744E-02,-8.36772194551E-01,3.671748884754E-02
-1.0938892E-02,1.883358395964E-02,-8.36731297849E-01,3.671742915908E-02
-1.0938708E-02,1.883700658873E-02,-8.37418995751E-01,3.671721608179E-02
-1.0938524E-02,1.883629852048E-02,-8.37200700724E-01,3.671842322020E-02
-1.0938340E-02,1.883765261344E-02,-8.36335786106E-01,3.671942390768E-02
-1.0938156E-02,1.883859716545E-02,-8.37104381016E-01,3.671866256544E-02
-1.0937972E-02,1.883760789599E-02,-8.36916170036E-01,3.671878289232E-02
-1.0937788E-02,1.883993442942E-02,-8.36823666422E-01,3.671740529394E-02
-1.0937604E-02,1.883875909218E-02,-8.36894772900E-01,3.671771767350E-02
-1.0937420E-02,1.883746079592E-02,-8.37188973045E-01,3.671841465669E-02
