XLabel,Wavenumber
YLabel,Response
FileType,Single Beam
DisplayDirection,20300
PeakDirection,20312
0.000000,-0.907921,-0.893598,-0.641646
0.482203,-1.075625,-1.055097,-0.760727
0.964406,-0.472808,-0.449920,-0.332942
1.446609,0.078344,0.096448,0.053408
1.928811,-0.040707,-0.029581,-0.033913
2.411014,0.176021,0.181204,0.131654
2.893217,0.177756,0.189748,0.160775
3.375420,0.383964,0.391240,0.342523
3.857623,0.651536,0.648761,0.583301
4.339826,0.895507,0.894595,0.832116
4.822029,1.226148,1.225991,1.140601
5.304232,1.286459,1.280758,1.215313
5.786434,1.356177,1.345880,1.257327
6.268637,1.181194,1.178512,1.120143
6.750840,1.026450,1.010161,0.961504
7.233043,0.853508,0.836430,0.784879
7.715246,0.601607,0.614249,0.586732
8.197449,0.486382,0.516413,0.482750
8.679652,0.316300,0.343980,0.338562
9.161854,0.286184,0.279586,0.273744
9.644057,0.180050,0.160658,0.160346
10.126260,0.132981,0.110941,0.108558
10.608463,0.089654,0.085356,0.078614
11.090666,0.005762,0.034993,0.033584
11.572869,0.065206,0.060350,0.049004
12.055072,0.018999,0.002735,-0.003420
12.537275,0.034990,0.033733,0.008633
13.019477,0.013562,0.001183,-0.006701
13.501680,0.009728,0.002516,0.003889
13.983883,0.012764,0.014024,0.008394
14.466086,-0.007465,-0.007132,-0.013510
14.948289,0.021218,0.018501,0.009285
15.430492,-0.015581,-0.016678,-0.007962
15.912695,0.022116,0.021813,0.015325
16.394897,0.008118,0.004256,0.000139
16.877100,0.035260,0.021165,0.013241
17.359303,0.029169,0.010066,0.005515
17.841506,-0.000509,-0.012705,-0.004663
18.323709,0.018728,0.010350,0.015191
18.805912,-0.011675,-0.012315,-0.004681
19.288115,0.019104,0.018085,0.009721
19.770317,-0.007901,-0.006204,-0.007349
20.252520,0.000887,0.010164,0.009823
20.734723,-0.007256,0.003760,0.002210
21.216926,-0.006258,0.003799,-0.003749
21.699129,0.007808,0.011033,0.002723
22.181332,-0.009316,-0.012686,-0.007430
22.663535,0.016880,0.006795,0.010533
23.145738,-0.003543,-0.011840,-0.006236
23.627940,0.012567,0.005891,0.006415
24.110143,-0.005784,-0.004769,0.001844
24.592346,-0.005881,0.003821,0.005098
25.074549,0.002777,0.000924,0.000676
25.556752,-0.000661,-0.011690,-0.008544
26.038955,0.011095,0.004345,0.005392
26.521158,-0.001598,-0.006104,-0.003737
27.003360,0.019113,0.011815,0.006006
27.485563,-0.005232,-0.009474,-0.005839
27.967766,0.011951,-0.000485,0.002505
28.449969,0.011962,0.005193,0.003525
28.932172,-0.008749,0.006944,0.004271
29.414375,-0.001481,0.004152,0.008980
29.896578,-0.005058,-0.016663,-0.003673
30.378781,0.014726,0.000940,0.002687
30.860983,0.001578,0.000578,-0.004796
31.343186,0.001835,0.007732,0.005733
31.825389,-0.003437,-0.009442,0.000498
32.307592,0.006013,-0.002842,-0.000245
32.789795,-0.000580,0.002738,-0.000061
33.271998,-0.012284,-0.002702,-0.002489
33.754201,0.012395,0.007461,0.008488
34.236403,0.004261,-0.006419,-0.000486
34.718606,0.003009,0.005473,0.008365
35.200809,-0.006055,-0.002383,0.003197
35.683012,0.006708,0.003065,0.004049
36.165215,0.001855,0.006088,0.000971
36.647418,-0.007559,0.003258,-0.003507
37.129621,0.002656,0.004640,0.002191
37.611824,-0.003416,-0.007729,-0.004540
38.094026,0.010002,0.003167,0.002385
38.576229,-0.000769,-0.005350,-0.005561
39.058432,0.001368,0.002410,-0.001343
39.540635,-0.002594,-0.000745,-0.001531
40.022838,0.000161,-0.001398,-0.000039
40.505041,0.006031,0.001710,0.004585
40.987244,-0.003972,-0.006226,-0.000649
41.469446,0.008224,0.005850,0.006267
41.951649,0.002842,-0.002392,-0.000999
42.433852,0.006835,0.002825,0.003137
42.916055,-0.001355,-0.002415,-0.001482
43.398258,0.001597,0.001066,0.000648
43.880461,0.004301,0.004544,0.003915
44.362664,-0.002745,-0.001327,-0.000947
44.844867,0.005241,0.005591,0.004939
45.327069,0.000104,-0.001175,-0.001747
45.809272,0.005977,0.003697,0.001619
46.291475,-0.001099,-0.005546,-0.003626
46.773678,0.003980,0.001187,-0.001347
47.255881,0.002223,0.003154,-0.001178
47.738084,-0.000293,-0.002600,-0.003123
48.220287,0.003484,0.000648,0.001972
48.702489,-0.004735,-0.003475,-0.001998
49.184692,0.004566,0.004460,0.003833
49.666895,-0.000584,-0.003290,-0.001997
50.149098,0.005743,0.003195,0.001161
50.631301,0.003784,0.000678,-0.001520
51.113504,0.003097,0.001877,-0.003288
51.595707,0.004604,0.005280,0.000291
52.077909,-0.001186,-0.002257,-0.001965
52.560112,0.005589,0.002916,0.005504
53.042315,-0.000076,-0.005069,0.000623
53.524518,0.007722,0.002376,0.002114
54.006721,0.002407,0.000771,-0.002378
54.488924,0.002147,0.003493,-0.000750
54.971127,0.002313,0.004208,0.001766
55.453330,-0.000062,0.000879,-0.000351
55.935532,0.006975,0.005158,0.003805
56.417735,0.000827,-0.004011,-0.001410
56.899938,0.006398,0.002663,0.002803
57.382141,0.000347,-0.000893,-0.002382
57.864344,0.003329,0.001054,-0.001156
58.346547,0.000890,-0.000229,0.000296
58.828750,-0.000961,0.000543,0.000622
59.310952,0.004506,0.004915,0.003996
59.793155,-0.000840,-0.001738,-0.002906
60.275358,0.006573,0.005114,0.000604
60.757561,0.001858,0.000753,-0.002161
61.239764,0.003639,0.001680,-0.000670
61.721967,-0.002466,-0.003906,-0.000956
62.204170,-0.003077,-0.001627,0.000914
