XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
499.562169,38.528296
500.044372,38.384672
500.526574,38.090832
501.008777,39.375031
501.490980,40.139882
501.973183,38.816879
502.455386,37.500060
502.937589,39.245599
503.419792,39.928231
503.901995,38.292510
504.384197,38.549226
504.866400,39.460986
505.348603,37.140062
505.830806,36.889010
506.313009,38.967226
506.795212,38.600516
507.277415,38.135274
507.759617,38.740434
508.241820,39.038891
508.724023,39.168028
509.206226,39.195482
509.688429,38.743324
510.170632,37.552539
510.652835,37.379200
511.135038,37.666917
511.617240,36.020815
512.099443,35.367443
512.581646,38.608441
513.063849,40.578132
513.546052,38.482613
514.028255,36.681391
514.510458,36.598183
514.992660,37.545394
515.474863,38.530553
515.957066,38.714067
516.439269,38.219555
516.921472,37.552471
517.403675,38.291273
517.885878,39.942182
518.368081,41.988134
518.850283,42.624759
519.332486,40.359441
519.814689,37.115421
520.296892,35.512890
520.779095,35.603237
521.261298,36.822247
521.743501,37.485647
522.225703,37.721825
522.707906,37.230503
523.190109,37.670404
523.672312,40.251545
524.154515,40.831400
524.636718,38.489209
525.118921,36.977271
525.601124,37.891006
526.083326,38.300218
526.565529,38.532844
527.047732,39.659679
527.529935,40.033723
528.012138,41.070988
528.494341,40.966961
528.976544,40.579465
529.458746,41.152842
529.940949,40.287744
530.423152,39.141599
530.905355,37.198048
531.387558,36.342877
531.869761,37.659540
532.351964,39.006641
532.834166,38.501817
533.316369,37.412475
533.798572,38.622088
534.280775,38.725629
534.762978,37.674641
535.245181,37.614977
535.727384,37.848262
536.209587,37.962983
536.691789,37.511116
537.173992,37.643490
537.656195,37.518456
538.138398,36.533530
538.620601,36.185172
539.102804,37.442383
539.585007,38.438599
540.067209,37.648962
540.549412,37.220347
541.031615,38.125328
541.513818,39.000601
541.996021,39.041338
542.478224,39.404893
542.960427,39.462439
543.442630,39.241421
543.924832,38.762231
544.407035,37.941597
544.889238,38.362731
545.371441,37.855336
545.853644,37.035185
546.335847,37.339369
546.818050,38.211395
547.300252,39.013227
547.782455,38.591029
548.264658,38.433299
548.746861,39.094181
549.229064,40.694092
549.711267,41.112861
550.193470,39.764804
550.675673,39.267292
551.157875,38.673182
551.640078,37.563146
552.122281,38.076831
552.604484,40.330132
553.086687,39.743854
553.568890,38.469351
554.051093,37.999152
554.533295,35.972756
555.015498,35.940569
555.497701,35.893966
555.979904,35.946818
556.462107,38.133501
556.944310,38.804293
557.426513,38.108543
557.908715,38.091008
558.390918,38.786733
558.873121,38.706083
559.355324,38.723702
559.837527,38.991626
560.319730,39.007885
560.801933,39.225976
561.284136,38.482784
561.766338,37.866775
562.248541,38.246024
562.730744,38.537902
563.212947,38.070047
563.695150,37.570534
564.177353,37.096771
564.659556,37.159767
565.141758,38.006465
565.623961,37.736260
566.106164,37.496069
566.588367,37.711512
567.070570,38.356733
567.552773,39.366753
568.034976,38.831003
568.517179,38.505194
568.999381,38.502775
569.481584,37.545367
569.963787,37.492286
570.445990,38.458898
570.928193,38.375082
571.410396,37.886180
571.892599,39.322205
572.374801,40.371341
572.857004,39.770515
573.339207,39.975290
573.821410,39.480298
574.303613,38.760747
574.785816,39.716929
575.268019,38.700185
575.750222,37.332581
576.232424,37.992984
576.714627,38.187483
577.196830,38.203426
577.679033,37.781920
578.161236,37.384349
578.643439,37.292057
579.125642,37.681669
579.607844,38.512978
