Time [s],CH0 [V],CH1 [V],
4.480000e-01,-0.029600000000, -8.800000000000,
4.480020e-01,-0.028800000000, -8.720000000000,
4.480040e-01,-0.029600000000, -8.880000000000,
4.480060e-01,-0.028400000000, -8.720000000000,
4.480080e-01,-0.029600000000, -8.800000000000,
4.480100e-01,-0.028400000000, -8.800000000000,
4.480120e-01,-0.028000000000, -8.800000000000,
4.480140e-01,-0.030000000000, -8.800000000000,
4.480160e-01,-0.029600000000, -8.800000000000,
4.480180e-01,-0.029600000000, -8.800000000000,
4.480200e-01,-0.027600000000, -8.800000000000,
4.480220e-01,-0.027600000000, -8.800000000000,
4.480240e-01,-0.028400000000, -8.800000000000,
4.480260e-01,-0.028000000000, -8.800000000000,
4.480280e-01,-0.029600000000, -8.720000000000,
4.480300e-01,-0.029600000000, -8.720000000000,
4.480320e-01,-0.030400000000, -8.800000000000,
4.480340e-01,-0.029600000000, -8.800000000000,
4.480360e-01,-0.029600000000, -8.800000000000,
4.480380e-01,-0.029200000000, -8.800000000000,
4.480400e-01,-0.029600000000, -8.800000000000,
4.480420e-01,-0.028400000000, -8.800000000000,
4.480440e-01,-0.028000000000, -8.800000000000,
4.480460e-01,-0.030000000000, -8.800000000000,
4.480480e-01,-0.029200000000, -8.800000000000,
4.480500e-01,-0.028000000000, -8.800000000000,
4.480520e-01,-0.028000000000, -8.800000000000,
4.480540e-01,-0.029600000000, -8.800000000000,
4.480560e-01,-0.028000000000, -8.800000000000,
4.480580e-01,-0.026800000000, -8.720000000000,
4.480600e-01,-0.027200000000, -8.720000000000,
4.480620e-01,-0.029200000000, -8.720000000000,
4.480640e-01,-0.030400000000, -8.800000000000,
4.480660e-01,-0.029200000000, -8.720000000000,
4.480680e-01,-0.027200000000, -8.800000000000,
4.480700e-01,-0.028400000000, -8.800000000000,
4.480720e-01,-0.030000000000, -8.800000000000,
4.480740e-01,-0.032000000000, -8.640000000000,
4.480760e-01,-0.028400000000, -8.800000000000,
4.480780e-01,-0.028800000000, -8.800000000000,
4.480800e-01,-0.029600000000, -8.800000000000,
4.480820e-01,-0.030400000000, -8.720000000000,
4.480840e-01,-0.030400000000, -8.640000000000,
4.480860e-01,-0.029200000000, -8.800000000000,
4.480880e-01,-0.027200000000, -8.800000000000,
4.480900e-01,-0.028000000000, -8.800000000000,
4.480920e-01,-0.030400000000, -8.800000000000,
4.480940e-01,-0.030000000000, -8.720000000000,
4.480960e-01,-0.027200000000, -8.640000000000,
4.480980e-01,-0.027200000000, -8.720000000000,
4.481000e-01,-0.030400000000, -8.800000000000,
4.481020e-01,-0.029600000000, -8.720000000000,
4.481040e-01,-0.029200000000, -8.720000000000,
4.481060e-01,-0.029200000000, -8.720000000000,
4.481080e-01,-0.030000000000, -8.720000000000,
4.481100e-01,-0.027600000000, -8.720000000000,
4.481120e-01,-0.029200000000, -8.720000000000,
4.481140e-01,-0.029600000000, -8.720000000000,
4.481160e-01,-0.029600000000, -8.720000000000,
4.481180e-01,-0.028400000000, -8.720000000000,
4.481200e-01,-0.028000000000, -8.800000000000,
4.481220e-01,-0.029600000000, -8.800000000000,
4.481240e-01,-0.030000000000, -8.720000000000,
4.481260e-01,-0.029200000000, -8.720000000000,
4.481280e-01,-0.027600000000, -8.720000000000,
4.481300e-01,-0.027200000000, -8.800000000000,
4.481320e-01,-0.028400000000, -8.800000000000,
4.481340e-01,-0.029200000000, -8.720000000000,
4.481360e-01,-0.030800000000, -8.720000000000,
4.481380e-01,-0.028000000000, -8.800000000000,
4.481400e-01,-0.027200000000, -8.640000000000,
4.481420e-01,-0.027600000000, -8.800000000000,
4.481440e-01,-0.029600000000, -8.720000000000,
4.481460e-01,-0.029200000000, -8.720000000000,
4.481480e-01,-0.026800000000, -8.720000000000,
4.481500e-01,-0.026400000000, -8.640000000000,
4.481520e-01,-0.029200000000, -8.720000000000,
4.481540e-01,-0.028800000000, -8.800000000000,
4.481560e-01,-0.028000000000, -8.720000000000,
4.481580e-01,-0.027200000000, -8.720000000000,
4.481600e-01,-0.027600000000, -8.640000000000,
4.481620e-01,-0.030400000000, -8.640000000000,
4.481640e-01,-0.029200000000, -8.720000000000,
4.481660e-01,-0.029600000000, -8.800000000000,
4.481680e-01,-0.028000000000, -8.640000000000,
4.481700e-01,-0.026800000000, -8.720000000000,
4.481720e-01,-0.028000000000, -8.720000000000,
4.481740e-01,-0.030400000000, -8.720000000000,
4.481760e-01,-0.029600000000, -8.640000000000,
4.481780e-01,-0.027600000000, -8.720000000000,
4.481800e-01,-0.026400000000, -8.720000000000,
4.481820e-01,-0.026800000000, -8.800000000000,
4.481840e-01,-0.028000000000, -8.720000000000,
4.481860e-01,-0.027600000000, -8.640000000000,
4.481880e-01,-0.027200000000, -8.720000000000,
4.481900e-01,-0.028000000000, -8.800000000000,
4.481920e-01,-0.029600000000, -8.720000000000,
4.481940e-01,-0.028800000000, -8.720000000000,
4.481960e-01,-0.028800000000, -8.720000000000,
4.481980e-01,-0.027600000000, -8.800000000000,
4.482000e-01,-0.026800000000, -8.720000000000,
4.482020e-01,-0.028000000000, -8.720000000000,
4.482040e-01,-0.030400000000, -8.720000000000,
4.482060e-01,-0.030400000000, -8.640000000000,
4.482080e-01,-0.029200000000, -8.720000000000,
4.482100e-01,-0.027600000000, -8.560000000000,
4.482120e-01,-0.027600000000, -8.720000000000,
4.482140e-01,-0.028400000000, -8.720000000000,
4.482160e-01,-0.031600000000, -8.720000000000,
4.482180e-01,-0.029600000000, -8.720000000000,
4.482200e-01,-0.028000000000, -8.720000000000,
4.482220e-01,-0.026000000000, -8.640000000000,
4.482240e-01,-0.028400000000, -8.800000000000,
4.482260e-01,-0.028400000000, -8.720000000000,
4.482280e-01,-0.028400000000, -8.640000000000,
4.482300e-01,-0.027200000000, -8.640000000000,
4.482320e-01,-0.027200000000, -8.640000000000,
4.482340e-01,-0.028400000000, -8.720000000000,
4.482360e-01,-0.028400000000, -8.720000000000,
4.482380e-01,-0.028400000000, -8.720000000000,
4.482400e-01,-0.027200000000, -8.720000000000,
4.482420e-01,-0.027600000000, -8.640000000000,
4.482440e-01,-0.028800000000, -8.720000000000,
4.482460e-01,-0.029600000000, -8.720000000000,
4.482480e-01,-0.029600000000, -8.720000000000,
4.482500e-01,-0.028400000000, -8.640000000000,
4.482520e-01,-0.028400000000, -8.640000000000,
4.482540e-01,-0.029200000000, -8.640000000000,
4.482560e-01,-0.028400000000, -8.720000000000,
4.482580e-01,-0.028800000000, -8.720000000000,
4.482600e-01,-0.028000000000, -8.720000000000,
4.482620e-01,-0.026800000000, -8.640000000000,
4.482640e-01,-0.027600000000, -8.640000000000,
4.482660e-01,-0.028000000000, -8.720000000000,
4.482680e-01,-0.029600000000, -8.720000000000,
4.482700e-01,-0.028400000000, -8.560000000000,
4.482720e-01,-0.027200000000, -8.640000000000,
4.482740e-01,-0.028400000000, -8.560000000000,
4.482760e-01,-0.029200000000, -8.720000000000,
4.482780e-01,-0.028800000000, -8.560000000000,
4.482800e-01,-0.027600000000, -8.720000000000,
4.482820e-01,-0.026800000000, -8.560000000000,
4.482840e-01,-0.026800000000, -8.640000000000,
4.482860e-01,-0.028400000000, -8.720000000000,
4.482880e-01,-0.028400000000, -8.560000000000,
4.482900e-01,-0.028400000000, -8.640000000000,
4.482920e-01,-0.028800000000, -8.640000000000,
4.482940e-01,-0.026000000000, -8.720000000000,
4.482960e-01,-0.028800000000, -8.720000000000,
4.482980e-01,-0.030000000000, -8.560000000000,
4.483000e-01,-0.028800000000, -8.560000000000,
4.483020e-01,-0.027200000000, -8.720000000000,
4.483040e-01,-0.027600000000, -8.720000000000,
4.483060e-01,-0.030000000000, -8.720000000000,
4.483080e-01,-0.028800000000, -8.560000000000,
4.483100e-01,-0.027600000000, -8.720000000000,
4.483120e-01,-0.027200000000, -8.560000000000,
4.483140e-01,-0.027200000000, -8.720000000000,
4.483160e-01,-0.028400000000, -8.640000000000,
4.483180e-01,-0.029600000000, -8.640000000000,
4.483200e-01,-0.030400000000, -8.720000000000,
4.483220e-01,-0.028800000000, -8.640000000000,
4.483240e-01,-0.027200000000, -8.640000000000,
4.483260e-01,-0.028000000000, -8.640000000000,
4.483280e-01,-0.027200000000, -8.640000000000,
4.483300e-01,-0.027600000000, -8.640000000000,
4.483320e-01,-0.028400000000, -8.640000000000,
4.483340e-01,-0.028800000000, -8.640000000000,
4.483360e-01,-0.030000000000, -8.640000000000,
4.483380e-01,-0.029600000000, -8.640000000000,
4.483400e-01,-0.028800000000, -8.640000000000,
4.483420e-01,-0.028400000000, -8.640000000000,
4.483440e-01,-0.027600000000, -8.560000000000,
4.483460e-01,-0.026800000000, -8.640000000000,
4.483480e-01,-0.028800000000, -8.640000000000,
4.483500e-01,-0.027600000000, -8.640000000000,
4.483520e-01,-0.026800000000, -8.640000000000,
4.483540e-01,-0.028000000000, -8.560000000000,
4.483560e-01,-0.027600000000, -8.640000000000,
4.483580e-01,-0.027200000000, -8.640000000000,
4.483600e-01,-0.027600000000, -8.640000000000,
4.483620e-01,-0.028000000000, -8.720000000000,
4.483640e-01,-0.030000000000, -8.640000000000,
4.483660e-01,-0.028400000000, -8.560000000000,
4.483680e-01,-0.027600000000, -8.640000000000,
4.483700e-01,-0.028400000000, -8.640000000000,
4.483720e-01,-0.028000000000, -8.560000000000,
4.483740e-01,-0.028000000000, -8.640000000000,
4.483760e-01,-0.026400000000, -8.560000000000,
4.483780e-01,-0.027200000000, -8.640000000000,
4.483800e-01,-0.028000000000, -8.560000000000,
4.483820e-01,-0.028000000000, -8.560000000000,
4.483840e-01,-0.026400000000, -8.560000000000,
4.483860e-01,-0.026400000000, -8.640000000000,
4.483880e-01,-0.026800000000, -8.640000000000,
4.483900e-01,-0.031200000000, -8.560000000000,
4.483920e-01,-0.030000000000, -8.640000000000,
4.483940e-01,-0.027600000000, -8.640000000000,
4.483960e-01,-0.027600000000, -8.640000000000,
4.483980e-01,-0.027600000000, -8.640000000000,
4.484000e-01,-0.027600000000, -8.560000000000,
4.484020e-01,-0.029200000000, -8.480000000000,
4.484040e-01,-0.027600000000, -8.640000000000,
4.484060e-01,-0.030400000000, -8.640000000000,
4.484080e-01,-0.027600000000, -8.640000000000,
4.484100e-01,-0.029200000000, -8.480000000000,
4.484120e-01,-0.028800000000, -8.640000000000,
4.484140e-01,-0.027600000000, -8.560000000000,
4.484160e-01,-0.028800000000, -8.640000000000,
4.484180e-01,-0.028400000000, -8.480000000000,
4.484200e-01,-0.027600000000, -8.640000000000,
4.484220e-01,-0.028400000000, -8.560000000000,
4.484240e-01,-0.029600000000, -8.560000000000,
4.484260e-01,-0.028400000000, -8.480000000000,
4.484280e-01,-0.029200000000, -8.640000000000,
4.484300e-01,-0.028400000000, -8.480000000000,
4.484320e-01,-0.028800000000, -8.640000000000,
4.484340e-01,-0.028000000000, -8.480000000000,
4.484360e-01,-0.028000000000, -8.640000000000,
4.484380e-01,-0.028800000000, -8.480000000000,
4.484400e-01,-0.027600000000, -8.640000000000,
4.484420e-01,-0.027600000000, -8.560000000000,
4.484440e-01,-0.027200000000, -8.640000000000,
4.484460e-01,-0.029200000000, -8.560000000000,
4.484480e-01,-0.029200000000, -8.480000000000,
4.484500e-01,-0.027600000000, -8.560000000000,
4.484520e-01,-0.026800000000, -8.640000000000,
4.484540e-01,-0.028000000000, -8.480000000000,
4.484560e-01,-0.031200000000, -8.480000000000,
4.484580e-01,-0.029600000000, -8.560000000000,
4.484600e-01,-0.026400000000, -8.560000000000,
4.484620e-01,-0.026000000000, -8.560000000000,
4.484640e-01,-0.027200000000, -8.640000000000,
4.484660e-01,-0.030400000000, -8.560000000000,
4.484680e-01,-0.030800000000, -8.560000000000,
4.484700e-01,-0.028400000000, -8.560000000000,
4.484720e-01,-0.026000000000, -8.640000000000,
4.484740e-01,-0.026800000000, -8.480000000000,
4.484760e-01,-0.029600000000, -8.640000000000,
4.484780e-01,-0.029600000000, -8.480000000000,
4.484800e-01,-0.026800000000, -8.640000000000,
4.484820e-01,-0.025600000000, -8.560000000000,
4.484840e-01,-0.027200000000, -8.640000000000,
4.484860e-01,-0.028800000000, -8.480000000000,
4.484880e-01,-0.029600000000, -8.640000000000,
4.484900e-01,-0.028000000000, -8.560000000000,
4.484920e-01,-0.026400000000, -8.480000000000,
4.484940e-01,-0.027200000000, -8.640000000000,
4.484960e-01,-0.027600000000, -8.560000000000,
4.484980e-01,-0.028800000000, -8.560000000000,
4.485000e-01,-0.027200000000, -8.560000000000,
4.485020e-01,-0.026000000000, -8.560000000000,
4.485040e-01,-0.026400000000, -8.560000000000,
4.485060e-01,-0.027600000000, -8.560000000000,
4.485080e-01,-0.030800000000, -8.560000000000,
4.485100e-01,-0.028800000000, -8.640000000000,
4.485120e-01,-0.027200000000, -8.560000000000,
4.485140e-01,-0.027200000000, -8.560000000000,
4.485160e-01,-0.028400000000, -8.480000000000,
4.485180e-01,-0.029200000000, -8.560000000000,
4.485200e-01,-0.029200000000, -8.480000000000,
4.485220e-01,-0.026400000000, -8.560000000000,
4.485240e-01,-0.027200000000, -8.560000000000,
4.485260e-01,-0.027600000000, -8.640000000000,
4.485280e-01,-0.029600000000, -8.480000000000,
4.485300e-01,-0.030000000000, -8.560000000000,
4.485320e-01,-0.028800000000, -8.480000000000,
4.485340e-01,-0.028000000000, -8.480000000000,
4.485360e-01,-0.027600000000, -8.480000000000,
4.485380e-01,-0.026400000000, -8.560000000000,
4.485400e-01,-0.026800000000, -8.480000000000,
4.485420e-01,-0.028400000000, -8.560000000000,
4.485440e-01,-0.028800000000, -8.560000000000,
4.485460e-01,-0.026400000000, -8.480000000000,
4.485480e-01,-0.025200000000, -8.480000000000,
4.485500e-01,-0.026400000000, -8.480000000000,
4.485520e-01,-0.028800000000, -8.560000000000,
4.485540e-01,-0.029200000000, -8.560000000000,
4.485560e-01,-0.028400000000, -8.480000000000,
4.485580e-01,-0.028000000000, -8.480000000000,
4.485600e-01,-0.027200000000, -8.560000000000,
4.485620e-01,-0.027200000000, -8.560000000000,
4.485640e-01,-0.027200000000, -8.560000000000,
4.485660e-01,-0.028000000000, -8.560000000000,
4.485680e-01,-0.026000000000, -8.480000000000,
4.485700e-01,-0.026800000000, -8.480000000000,
4.485720e-01,-0.028400000000, -8.480000000000,
4.485740e-01,-0.028400000000, -8.560000000000,
4.485760e-01,-0.027200000000, -8.480000000000,
4.485780e-01,-0.026400000000, -8.560000000000,
4.485800e-01,-0.026400000000, -8.480000000000,
4.485820e-01,-0.025200000000, -8.560000000000,
4.485840e-01,-0.026400000000, -8.480000000000,
4.485860e-01,-0.026000000000, -8.560000000000,
4.485880e-01,-0.026000000000, -8.400000000000,
4.485900e-01,-0.025200000000, -8.560000000000,
4.485920e-01,-0.026400000000, -8.560000000000,
4.485940e-01,-0.027200000000, -8.400000000000,
4.485960e-01,-0.025600000000, -8.560000000000,
4.485980e-01,-0.026000000000, -8.560000000000,
4.486000e-01,-0.028000000000, -8.480000000000,
4.486020e-01,-0.027600000000, -8.560000000000,
4.486040e-01,-0.027600000000, -8.480000000000,
4.486060e-01,-0.026400000000, -8.400000000000,
4.486080e-01,-0.026800000000, -8.560000000000,
4.486100e-01,-0.027600000000, -8.560000000000,
4.486120e-01,-0.027600000000, -8.480000000000,
4.486140e-01,-0.026800000000, -8.480000000000,
4.486160e-01,-0.023200000000, -8.480000000000,
4.486180e-01,-0.023600000000, -8.400000000000,
4.486200e-01,-0.025200000000, -8.560000000000,
4.486220e-01,-0.028800000000, -8.480000000000,
4.486240e-01,-0.028000000000, -8.560000000000,
4.486260e-01,-0.027600000000, -8.480000000000,
4.486280e-01,-0.025200000000, -8.480000000000,
4.486300e-01,-0.026000000000, -8.400000000000,
4.486320e-01,-0.027600000000, -8.400000000000,
4.486340e-01,-0.028000000000, -8.480000000000,
4.486360e-01,-0.028000000000, -8.560000000000,
4.486380e-01,-0.027200000000, -8.480000000000,
4.486400e-01,-0.026000000000, -8.480000000000,
4.486420e-01,-0.027200000000, -8.400000000000,
4.486440e-01,-0.028400000000, -8.560000000000,
4.486460e-01,-0.027600000000, -8.560000000000,
4.486480e-01,-0.025600000000, -8.480000000000,
4.486500e-01,-0.024800000000, -8.400000000000,
4.486520e-01,-0.026400000000, -8.400000000000,
4.486540e-01,-0.028000000000, -8.480000000000,
4.486560e-01,-0.026400000000, -8.480000000000,
4.486580e-01,-0.025600000000, -8.400000000000,
4.486600e-01,-0.025200000000, -8.400000000000,
4.486620e-01,-0.026800000000, -8.480000000000,
4.486640e-01,-0.027200000000, -8.480000000000,
4.486660e-01,-0.028000000000, -8.560000000000,
4.486680e-01,-0.025200000000, -8.480000000000,
4.486700e-01,-0.025600000000, -8.400000000000,
4.486720e-01,-0.025600000000, -8.400000000000,
4.486740e-01,-0.027200000000, -8.480000000000,
4.486760e-01,-0.026000000000, -8.480000000000,
4.486780e-01,-0.025200000000, -8.400000000000,
4.486800e-01,-0.024000000000, -8.480000000000,
4.486820e-01,-0.026000000000, -8.400000000000,
4.486840e-01,-0.027600000000, -8.480000000000,
4.486860e-01,-0.027200000000, -8.400000000000,
4.486880e-01,-0.025600000000, -8.480000000000,
4.486900e-01,-0.026800000000, -8.400000000000,
4.486920e-01,-0.025200000000, -8.480000000000,
4.486940e-01,-0.026800000000, -8.560000000000,
4.486960e-01,-0.026000000000, -8.400000000000,
4.486980e-01,-0.024400000000, -8.480000000000,
4.487000e-01,-0.023600000000, -8.400000000000,
4.487020e-01,-0.025200000000, -8.480000000000,
4.487040e-01,-0.028400000000, -8.480000000000,
4.487060e-01,-0.028400000000, -8.400000000000,
4.487080e-01,-0.027200000000, -8.480000000000,
4.487100e-01,-0.027600000000, -8.480000000000,
4.487120e-01,-0.024800000000, -8.480000000000,
4.487140e-01,-0.024800000000, -8.480000000000,
4.487160e-01,-0.026800000000, -8.400000000000,
4.487180e-01,-0.027200000000, -8.480000000000,
4.487200e-01,-0.025600000000, -8.400000000000,
4.487220e-01,-0.025200000000, -8.400000000000,
4.487240e-01,-0.025600000000, -8.400000000000,
4.487260e-01,-0.025600000000, -8.480000000000,
4.487280e-01,-0.027200000000, -8.480000000000,
4.487300e-01,-0.026000000000, -8.480000000000,
4.487320e-01,-0.024000000000, -8.400000000000,
4.487340e-01,-0.024400000000, -8.400000000000,
4.487360e-01,-0.026400000000, -8.400000000000,
4.487380e-01,-0.026800000000, -8.480000000000,
4.487400e-01,-0.025200000000, -8.400000000000,
4.487420e-01,-0.026000000000, -8.480000000000,
4.487440e-01,-0.025600000000, -8.400000000000,
4.487460e-01,-0.028000000000, -8.480000000000,
4.487480e-01,-0.026400000000, -8.320000000000,
4.487500e-01,-0.025600000000, -8.400000000000,
4.487520e-01,-0.024400000000, -8.400000000000,
4.487540e-01,-0.026000000000, -8.400000000000,
4.487560e-01,-0.027200000000, -8.480000000000,
4.487580e-01,-0.027200000000, -8.560000000000,
4.487600e-01,-0.025600000000, -8.400000000000,
4.487620e-01,-0.024400000000, -8.400000000000,
4.487640e-01,-0.026400000000, -8.480000000000,
4.487660e-01,-0.026800000000, -8.480000000000,
4.487680e-01,-0.026800000000, -8.480000000000,
4.487700e-01,-0.026400000000, -8.480000000000,
4.487720e-01,-0.024400000000, -8.400000000000,
4.487740e-01,-0.026400000000, -8.400000000000,
4.487760e-01,-0.027600000000, -8.480000000000,
4.487780e-01,-0.027600000000, -8.400000000000,
4.487800e-01,-0.026400000000, -8.400000000000,
4.487820e-01,-0.025600000000, -8.480000000000,
4.487840e-01,-0.026000000000, -8.400000000000,
4.487860e-01,-0.026400000000, -8.480000000000,
4.487880e-01,-0.027600000000, -8.400000000000,
4.487900e-01,-0.023600000000, -8.400000000000,
4.487920e-01,-0.023600000000, -8.400000000000,
4.487940e-01,-0.025200000000, -8.400000000000,
4.487960e-01,-0.026000000000, -8.400000000000,
4.487980e-01,-0.025200000000, -8.400000000000,
4.488000e-01,-0.025600000000, -8.480000000000,
4.488020e-01,-0.024800000000, -8.320000000000,
